, CC, D, E, I, L, LOC, N, N1, N2, T, V, V*, mu, mu1, mu1', mu2, mu2',AvgShortestPath,Betweenness,Closeness,Eccentricity,FanIn,FanOut,IsIsolated,Katz,Name
0, 5, 18.9498, 9680, 0.612653, 0.0527711, 1797, 220, 81, 139, 537.778, 510.824, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,AddNorm2
1, 46, 42.9815, 64343.3, 0.270108, 0.0232658, 329, 499, 154, 345, 3574.63, 1497, 11.6096, 8, 0, 1, 8, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,ApplyTranspose_FullBasis
2, 46, 42.9815, 64343.3, 0.270108, 0.0232658, 311, 499, 154, 345, 3574.63, 1497, 11.6096, 8, 0, 1, 8, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Apply_FullBasis
3, 46, 42.7231, 63572, 0.271741, 0.0234065, 254, 496, 153, 343, 3531.78, 1488, 11.6096, 8, 1, 1, 7, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Apply_Linear
4, 666, 377.58, 1.50099e+07, 0.0520459, 0.00264845, 1268, 7420, 2342, 5078, 833885, 39753, 19.6515, 41, 3, 1, 38, 5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,ArrowTridiag
5, 4097, 531.67, 2.2218e+08, 0.195689, 0.00188086, 23193, 55316, 19133, 36183, 1.23433e+07, 417890, 104.042, 188, 7, 1, 181, 21,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BDC_dibtdc_
6, 797, 114.821, 6.73151e+06, 0.752809, 0.00870918, 11417, 9925, 3165, 6760, 373973, 58625.9, 86.4386, 60, 6, 1, 54, 18,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BDC_dlaed3m_
7, 625, 77.3537, 3.4378e+06, 1.19243, 0.0129276, 13798, 7135, 2242, 4893, 190989, 44442.6, 92.2387, 75, 5, 1, 70, 19,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BDC_dmerg2_
8, 6427, 714.018, 4.69771e+08, 0.188519, 0.00140053, 26807, 96111, 37197, 58914, 2.60984e+07, 657927, 134.606, 115, 9, 1, 106, 26,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BDC_dsbtdc_
9, 1463, 183.717, 2.21411e+07, 0.534015, 0.00544316, 16440, 18024, 5793, 12231, 1.23006e+06, 120517, 98.1075, 103, 8, 1, 95, 20,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BDC_dsrtdf_
10, 184, 69.1569, 608474, 0.41253, 0.0144599, 544, 1973, 613, 1360, 33804.1, 8798.46, 28.5293, 22, 2, 1, 20, 7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVAXPY_BLAS_Private
11, 53, 82.375, 172080, 0.0971168, 0.0121396, 370, 659, 199, 460, 9559.99, 2088.98, 8, 9, 0, 1, 9, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVAllocateWork_Private
12, 50, 76.375, 108353, 0.104746, 0.0130933, 261, 611, 175, 436, 6019.61, 1418.7, 8, 5, 1, 1, 4, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVAppendOptionsPrefix
13, 66, 93.1123, 348207, 0.124684, 0.0107397, 420, 1081, 284, 797, 19344.8, 3739.65, 11.6096, 11, 1, 1, 10, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVApplyMatrix
14, 72, 151.75, 701408, 0.0527183, 0.00658979, 409, 1214, 320, 894, 38967.1, 4622.13, 8, 14, 1, 1, 13, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVApplyMatrixBV
15, 47, 27.2753, 50575.4, 0.720487, 0.0366632, 349, 536, 162, 374, 2809.74, 1854.26, 19.6515, 11, 2, 1, 9, 5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVBiorthogonalizeCGS1
16, 97, 166.586, 1.89525e+06, 0.0696917, 0.00600292, 2321, 1934, 509, 1425, 105292, 11377, 11.6096, 59, 8, 1, 51, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVBiorthogonalizeColumn
17, 52, 51.5951, 106915, 0.225015, 0.0193817, 401, 599, 179, 420, 5939.74, 2072.2, 11.6096, 11, 1, 1, 10, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVBiorthogonalizeGS
18, 60, 50.0217, 243604, 0.392859, 0.0199913, 708, 983, 287, 696, 13533.6, 4869.97, 19.6515, 31, 6, 1, 25, 5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVBiorthogonalizeMGS1
19, 117, 154.225, 2.22169e+06, 0.100566, 0.00648402, 2988, 2392, 638, 1754, 123427, 14405.5, 15.5098, 65, 0, 1, 65, 4,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVBiorthonormalizeColumn
20, 171, 292.625, 3.29321e+06, 0.0273387, 0.00341734, 1466, 2341, 653, 1688, 182956, 11254, 8, 28, 0, 1, 28, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopy
21, 171, 232.651, 3.85159e+06, 0.0499014, 0.00429827, 1057, 2701, 777, 1924, 213977, 16555.2, 11.6096, 70, 0, 1, 70, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyColumn
22, 45, 39.1054, 45893.1, 0.296881, 0.0255719, 280, 454, 141, 313, 2549.62, 1173.57, 11.6096, 6, 0, 1, 6, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyColumn_Contiguous
23, 47, 45.1349, 74970.9, 0.257221, 0.0221558, 382, 524, 161, 363, 4165.05, 1661.04, 11.6096, 9, 0, 1, 9, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyColumn_Mat
24, 47, 45.1349, 74970.9, 0.257221, 0.0221558, 374, 524, 161, 363, 4165.05, 1661.04, 11.6096, 9, 0, 1, 9, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyColumn_Svec
25, 47, 45.3933, 79468.1, 0.255757, 0.0220297, 430, 527, 162, 365, 4414.89, 1750.66, 11.6096, 10, 0, 1, 10, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyColumn_Tensor
26, 45, 40.1391, 48351.2, 0.289236, 0.0249134, 237, 466, 145, 321, 2686.18, 1204.59, 11.6096, 6, 0, 1, 6, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyColumn_Vecs
27, 81, 130.064, 1.0657e+06, 0.0892608, 0.0076885, 887, 1510, 405, 1105, 59205.7, 8193.66, 11.6096, 43, 0, 1, 43, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopyVec
28, 45, 59.625, 85323.4, 0.134172, 0.0167715, 358, 477, 149, 328, 4740.19, 1431, 8, 8, 0, 1, 8, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopy_Contiguous
29, 49, 77.125, 181177, 0.103728, 0.012966, 583, 617, 189, 428, 10065.4, 2349.14, 8, 14, 0, 1, 14, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopy_Mat
30, 49, 77.125, 181177, 0.103728, 0.012966, 528, 617, 189, 428, 10065.4, 2349.14, 8, 14, 0, 1, 14, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopy_Svec
31, 47, 66.25, 105338, 0.120755, 0.0150943, 303, 530, 165, 365, 5852.08, 1590, 8, 8, 0, 1, 8, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCopy_Vecs
32, 48, 89.125, 178397, 0.0897616, 0.0112202, 1798, 713, 223, 490, 9910.92, 2001.64, 8, 7, 1, 1, 6, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreate
33, 56, 103.375, 369486, 0.0773881, 0.00967352, 533, 827, 233, 594, 20527, 3574.23, 8, 20, 6, 1, 14, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreateFromMat
34, 60, 117, 473303, 0.0683761, 0.00854701, 769, 936, 262, 674, 26294.6, 4045.32, 8, 20, 7, 1, 13, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreateMat
35, 77, 130.409, 1.11996e+06, 0.0890249, 0.00766819, 1711, 1514, 430, 1084, 62219.9, 8588.05, 11.6096, 51, 7, 1, 44, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreateTensor
36, 53, 85.75, 136586, 0.0932945, 0.0116618, 254, 686, 191, 495, 7588.13, 1592.84, 8, 5, 1, 1, 4, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreateVec
37, 112, 525.354, 7.90336e+06, 0.00905082, 0.00190348, 13744, 2498, 714, 1784, 439076, 15043.9, 4.75489, 65, 2, 1, 63, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreate_Contiguous
38, 77, 300.743, 2.27305e+06, 0.0158105, 0.0033251, 17384, 1430, 418, 1012, 126281, 7558.13, 4.75489, 39, 4, 1, 35, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreate_Mat
39, 125, 618.942, 1.17361e+07, 0.00768228, 0.00161566, 19802, 2943, 843, 2100, 652007, 18961.6, 4.75489, 87, 7, 1, 80, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreate_Svec
40, 50, 138.174, 287766, 0.0344124, 0.00723727, 28863, 657, 198, 459, 15987, 2082.64, 4.75489, 9, 0, 1, 9, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreate_Tensor
41, 117, 499.696, 7.39534e+06, 0.00951555, 0.00200122, 18511, 2376, 678, 1698, 410852, 14799.7, 4.75489, 75, 5, 1, 70, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVCreate_Vecs
42, 229, 570.36, 7.27072e+06, 0.00833664, 0.00175328, 1235, 2712, 830, 1882, 403929, 12747.6, 4.75489, 26, 7, 1, 19, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDestroy
43, 53, 134.809, 259237, 0.0352714, 0.00741792, 348, 641, 196, 445, 14402.1, 1923, 4.75489, 8, 0, 1, 8, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDestroy_Contiguous
