, D, E, I, L, N, N1, N2, T, V, V*, mu, mu1, mu1', mu2, mu2',AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,SelfLoops,Stress,function_name,selected,Failed
0, 9.15552, 4318.78, 1.69404, 0.109224, 142, 44, 98, 239.932, 471.714, 15.5098, 10, 2, 1, 8, 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ADMMInternalHessianUpdate,0,0
1, 13.7333, 11956.6, 1.12936, 0.0728158, 213, 67, 146, 664.255, 870.63, 15.5098, 17, 5, 1, 12, 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ADMML1EpsilonNorm,0,0
2, 10, 10007.8, 2.4, 0.1, 240, 71, 169, 555.99, 1000.78, 24, 18, 2, 1, 16, 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ADMMUpdateConstraintResidualVector,0,0
3, 16.6241, 7449.8, 0.698361, 0.0601536, 193, 54, 139, 413.878, 448.132, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetsc,0,0
4, 42.625, 50283.3, 0.187683, 0.0234604, 341, 99, 242, 2793.52, 1179.67, 8, 11, 0, 1, 11, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetscIS,0,0
5, 16.6241, 7449.8, 0.698361, 0.0601536, 193, 54, 139, 413.878, 448.132, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetscPermuteInt,0,0
6, 15.5044, 9654.53, 0.748799, 0.064498, 180, 57, 123, 536.363, 622.698, 11.6096, 11, 0, 1, 11, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetscPermuteInt_Basic,0,0
7, 16.6241, 7449.8, 0.698361, 0.0601536, 193, 54, 139, 413.878, 448.132, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetscPermuteReal,0,0
8, 15.5044, 9654.53, 0.748799, 0.064498, 180, 57, 123, 536.363, 622.698, 11.6096, 11, 0, 1, 11, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetscPermuteReal_Basic,0,0
9, 8.95807, 2408.25, 1.296, 0.111631, 104, 34, 70, 133.792, 268.836, 11.6096, 6, 0, 1, 6, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetsc_Basic,0,0
10, 12.3173, 6517.88, 0.942544, 0.0811863, 143, 47, 96, 362.105, 529.163, 11.6096, 13, 0, 1, 13, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetsc_Mapping,0,0
11, 8.95807, 2615.44, 1.296, 0.111631, 104, 32, 72, 145.302, 291.965, 11.6096, 7, 0, 1, 7, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOApplicationToPetsc_MemoryScalable,0,0
12, 7.66604, 1364.56, 1.51442, 0.130445, 89, 29, 60, 75.8086, 178, 11.6096, 4, 0, 1, 4, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOBasicGetIndices_Private,0,0
13, 19.375, 8430.84, 0.412903, 0.0516129, 155, 48, 107, 468.38, 435.14, 8, 7, 1, 1, 6, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreate,0,0
14, 10.788, 9536.84, 1.82161, 0.0926957, 212, 65, 147, 529.825, 884.024, 19.6515, 18, 3, 1, 15, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateBasic,0,0
15, 17.6577, 14142.3, 0.657482, 0.0566324, 205, 64, 141, 785.684, 800.913, 11.6096, 15, 4, 1, 11, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateBasicIS,0,0
